atlasId,atlasName,cohortId,name
1808,CKim_UTI_patients_with_Ciprofloxacin_susceptibility_test_inpatient,1808,CKim_UTI_patients_with_Ciprofloxacin_susceptibility_test_inpatient
1809,CKim_UTI_patients_with_Ciprofloxacin_susceptibility_test_outpatient,1809,CKim_UTI_patients_with_Ciprofloxacin_susceptibility_test_outpatient
1812,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_inpatient_visit,1812,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_inpatient_visit
1813,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_outpatient_visit,1813,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_outpatient_visit
1864,CKim_UTI_patients_with_TMP_SMX_susceptibility_test_inpatient,1864,CKim_UTI_patients_with_TMP_SMX_susceptibility_test_inpatient
1865,CKim_UTI_patients_with_TMP_SMX_susceptibility_test_outpatient,1865,CKim_UTI_patients_with_TMP_SMX_susceptibility_test_outpatient
1942,CKim_UTI_patients_with_levofloxacin_susceptibility_test_inpatient_visit,1942,CKim_UTI_patients_with_levofloxacin_susceptibility_test_inpatient_visit
1943,CKim_UTI_patients_with_levofloxacin_susceptibility_test_outpatient_visit,1943,CKim_UTI_patients_with_levofloxacin_susceptibility_test_outpatient_visit
1945,CKim_UTI_patients_with_nitrofurantoin_susceptibility_test_inpatient_visit,1945,CKim_UTI_patients_with_nitrofurantoin_susceptibility_test_inpatient_visit
1946,CKim_UTI_patients_with_nitrofurantoin_susceptibility_test_outpatient_visit,1946,CKim_UTI_patients_with_nitrofurantoin_susceptibility_test_outpatient_visit
2085,CKim_Resistant_or_intermediate_results_for_ampicillin,2085,CKim_Resistant_or_intermediate_results_for_ampicillin
2086,CKim_UTI_patients_with_tetracycline_susceptibility_test_outpatient_visit,2086,CKim_UTI_patients_with_tetracycline_susceptibility_test_outpatient_visit
2087,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_outpatient_visit,2087,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_outpatient_visit
2088,CKim_UTI_patients_with_ampicillin_susceptibility_test_outpatient_visit,2088,CKim_UTI_patients_with_ampicillin_susceptibility_test_outpatient_visit
2089,CKim_UTI_patients_with_tetracycline_susceptibility_test_inpatient_visit,2089,CKim_UTI_patients_with_tetracycline_susceptibility_test_inpatient_visit
2090,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_inpatient_visit,2090,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_inpatient_visit
2091,CKim_UTI_patients_with_ampicillin_susceptibility_test_inpatient_visit,2091,CKim_UTI_patients_with_ampicillin_susceptibility_test_inpatient_visit
1815,CKim_Resistant_or_intermediate_results_for_ceftriaxone,1815,CKim_Resistant_or_intermediate_results_for_ceftriaxone
1862,CKim_Resistant_or_intermediate_results_for_ciprofloxacin,1862,CKim_Resistant_or_intermediate_results_for_ciprofloxacin
1866,CKim_Resistant_or_intermediate_results_for_TMP_SMX,1866,CKim_Resistant_or_intermediate_results_for_TMP_SMX
1947,CKim_Resistant_or_intermediate_results_for_levofloxacin,1947,CKim_Resistant_or_intermediate_results_for_levofloxacin
1948,CKim_Resistant_or_intermediate_results_for_nitrofurantoin,1948,CKim_Resistant_or_intermediate_results_for_nitrofurantoin
2083,CKim_Resistant_or_intermediate_results_for_tetracycline,2083,CKim_Resistant_or_intermediate_results_for_tetracycline
2084,CKim_Resistant_or_intermediate_results_for_ceftriaxone,2084,CKim_Resistant_or_intermediate_results_for_ceftriaxone
