atlasId,atlasName,cohortId,name
2085,CKim_Resistant_or_intermediate_results_for_ampicillin,2085,CKim_Resistant_or_intermediate_results_for_ampicillin
2091,CKim_UTI_patients_with_ampicillin_susceptibility_test_inpatient_visit,2091,CKim_UTI_patients_with_ampicillin_susceptibility_test_inpatient_visit
1815,CKim_Resistant_or_intermediate_results_for_ceftriaxone,1815,CKim_Resistant_or_intermediate_results_for_ceftriaxone
1812,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_inpatient_visit,1812,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_inpatient_visit
1862,CKim_Resistant_or_intermediate_results_for_ciprofloxacin,1862,CKim_Resistant_or_intermediate_results_for_ciprofloxacin
1808,CKim_UTI_patients_with_Ciprofloxacin_susceptibility_test_inpatient,1808,CKim_UTI_patients_with_Ciprofloxacin_susceptibility_test_inpatient
160,CKim_Resistant_or_intermediate_results_for_fosfomycin,160,CKim_Resistant_or_intermediate_results_for_fosfomycin
158,CKim_UTI_patients_with_fosfomycin_susceptibility_test_inpatient,158,CKim_UTI_patients_with_fosfomycin_susceptibility_test_inpatient
2084,CKim_Resistant_or_intermediate_results_for_ceftriaxone,2084,CKim_Resistant_or_intermediate_results_for_ceftriaxone
2090,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_inpatient_visit,2090,CKim_UTI_patients_with_Ceftriaxone_susceptibility_test_inpatient_visit
1947,CKim_Resistant_or_intermediate_results_for_levofloxacin,1947,CKim_Resistant_or_intermediate_results_for_levofloxacin
1942,CKim_UTI_patients_with_levofloxacin_susceptibility_test_inpatient_visit,1942,CKim_UTI_patients_with_levofloxacin_susceptibility_test_inpatient_visit
1948,CKim_Resistant_or_intermediate_results_for_nitrofurantoin,1948,CKim_Resistant_or_intermediate_results_for_nitrofurantoin
1945,CKim_UTI_patients_with_nitrofurantoin_susceptibility_test_inpatient_visit,1945,CKim_UTI_patients_with_nitrofurantoin_susceptibility_test_inpatient_visit
2083,CKim_Resistant_or_intermediate_results_for_tetracycline,2083,CKim_Resistant_or_intermediate_results_for_tetracycline
2089,CKim_UTI_patients_with_tetracycline_susceptibility_test_inpatient_visit,2089,CKim_UTI_patients_with_tetracycline_susceptibility_test_inpatient_visit
1866,CKim_Resistant_or_intermediate_results_for_TMP_SMX,1866,CKim_Resistant_or_intermediate_results_for_TMP_SMX
1864,CKim_UTI_patients_with_TMP_SMX_susceptibility_test_inpatient,1864,CKim_UTI_patients_with_TMP_SMX_susceptibility_test_inpatient
